individual_ID,trial_day,day1_night0,event_number,activation_number,sound_stimuli,period,activity,proportionvis
981,6,1,1,1,human,before,vigilant,0
981,7,1,2,1,roedeer,before,vigilant,0
981,9,1,3,2,roedeer,before,vigilant,0
981,9,1,4,2,human,before,vigilant,0
981,9,1,5,1,silent,before,vigilant,0
981,9,0,6,2,silent,before,vigilant,0
981,9,0,7,3,roedeer,before,vigilant,0
981,9,0,8,3,silent,before,vigilant,0
981,9,0,9,4,silent,before,vigilant,0
981,10,0,10,1,dog,before,vigilant,0
981,10,0,11,2,dog,before,vigilant,0
981,10,1,12,5,silent,before,vigilant,0
981,10,1,13,1,novel,before,vigilant,0
981,10,1,14,6,silent,before,vigilant,0
981,10,0,15,7,silent,before,vigilant,NA
981,10,0,16,8,silent,before,vigilant,0
981,10,0,17,3,human,before,vigilant,0
981,10,0,18,9,silent,before,vigilant,0
981,10,0,19,2,novel,before,vigilant,0
981,11,0,20,3,novel,before,vigilant,0
981,11,0,21,10,silent,before,vigilant,0
981,11,0,22,3,dog,before,vigilant,0
981,11,1,23,4,novel,before,vigilant,0
981,11,1,24,11,silent,before,vigilant,0
981,11,0,25,4,dog,before,vigilant,0
981,11,0,26,12,silent,before,vigilant,0
981,11,0,27,1,bird,before,vigilant,0
981,11,0,28,13,silent,before,vigilant,0
981,12,1,29,14,silent,before,vigilant,0
981,12,1,30,5,novel,before,vigilant,0.5
981,12,1,31,15,silent,before,vigilant,0
981,12,0,32,5,dog,before,vigilant,0
981,12,0,33,16,silent,before,vigilant,0
981,12,0,34,4,human,before,vigilant,0
981,13,0,35,17,silent,before,vigilant,0
981,13,0,36,2,bird,before,vigilant,0
981,13,0,37,18,silent,before,vigilant,0
981,13,1,38,19,silent,before,vigilant,0
981,13,1,39,6,novel,before,vigilant,0
981,13,1,40,20,silent,before,vigilant,0
981,13,0,41,6,dog,before,vigilant,0
981,14,1,42,5,human,before,vigilant,0
981,14,0,43,3,bird,before,vigilant,0
981,14,0,44,21,silent,before,vigilant,0
981,14,0,45,22,silent,before,vigilant,0
981,15,0,46,23,silent,before,vigilant,NA
981,15,0,47,24,silent,before,vigilant,0
981,15,0,48,6,human,before,vigilant,0
981,15,1,49,4,roedeer,before,vigilant,0.1
981,15,0,50,25,silent,before,vigilant,0
981,16,1,51,4,bird,before,vigilant,0
981,16,1,52,7,human,before,vigilant,0
981,17,0,53,7,novel,before,vigilant,0
981,18,1,54,5,bird,before,vigilant,0
981,18,1,55,26,silent,before,vigilant,NA
981,18,0,56,5,roedeer,before,vigilant,0
981,18,0,57,27,silent,before,vigilant,0
981,19,1,58,8,novel,before,vigilant,0.6
981,19,1,59,6,roedeer,before,vigilant,0
981,19,1,60,28,silent,before,vigilant,0
981,19,0,61,8,human,before,vigilant,NA
981,19,0,62,6,bird,before,vigilant,0.2
981,20,0,63,7,bird,before,vigilant,0
981,20,0,64,7,dog,before,vigilant,0
981,20,1,65,29,silent,before,vigilant,0
981,20,1,66,8,bird,before,vigilant,0
981,20,1,67,9,human,before,vigilant,0
981,20,1,68,30,silent,before,vigilant,0.2
981,20,1,69,31,silent,before,vigilant,0
981,20,1,70,9,novel,before,vigilant,0
981,20,0,71,10,human,before,vigilant,0
981,20,0,72,32,silent,before,vigilant,0
981,20,0,73,8,dog,before,vigilant,0
981,20,0,74,7,roedeer,before,vigilant,0
981,21,0,75,8,roedeer,before,vigilant,0
