event_ID,site,video_date,Visit_Date,Visit_Date,time,number_individuals,individual,individual_ID,trial_day,event_number,activation_number,sound_stimuli,period,proportion_vis,
RDT1_04Feb_14_1,RDT1,2021-02-04,04Feb,04-02-24,14:33,2,1,,1,1,1,Roedeer,before,0,
RDT1_04Feb_14_1,RDT1,2021-02-04,04Feb,04-02-24,14:33,2,2,,1,1,1,Roedeer,before,0,
RDT1_04Feb_15_2,RDT1,2021-02-04,04Feb,04-02-24,15:37,2,3,,1,2,1,Silent,before,0.7,
RDT1_04Feb_15_2,RDT1,2021-02-04,04Feb,04-02-24,15:37,2,4,,1,2,1,Silent,before,1,
RDT1_04Feb_15_3,RDT1,2021-02-04,04Feb,04-02-24,15:44,2,5,,1,3,2,Roedeer,before,0,
RDT1_04Feb_15_3,RDT1,2021-02-04,04Feb,04-02-24,15:44,2,6,,1,3,2,Roedeer,before,0.45,
RDT1_04Feb_16_1,RDT1,2021-02-04,04Feb,04-02-24,16:53,5,7,,1,4,1,Human,before,0.45,
RDT1_04Feb_16_1,RDT1,2021-02-04,04Feb,04-02-24,16:53,5,8,,1,4,1,Human,before,0.277777778,
RDT1_04Feb_16_1,RDT1,2021-02-04,04Feb,04-02-24,16:53,5,9,,1,4,1,Human,before,0,
RDT1_04Feb_16_1,RDT1,2021-02-04,04Feb,04-02-24,16:53,5,10,,1,4,1,Human,before,NA,
RDT1_04Feb_16_1,RDT1,2021-02-04,04Feb,04-02-24,16:53,4,11,,1,4,1,Human,before,0.15,
RDT1_04Feb_16_1,RDT1,2021-02-04,04Feb,04-02-24,16:53,4,12,,1,4,1,Human,before,0.333333333,
RDT1_04Feb_16_1,RDT1,2021-02-04,04Feb,04-02-24,16:53,4,13,,1,4,1,Human,before,0.45,
RDT1_04Feb_16_1,RDT1,2021-02-04,04Feb,04-02-24,16:53,4,14,,1,4,1,Human,before,0,
RDT1_04Feb_16_1,RDT1,2021-02-04,04Feb,04-02-24,16:53,5,15,,1,4,1,Human,before,0,
RDT1_04Feb_17_1,RDT1,2021-02-04,04Feb,04-02-24,17:55,2,16,,1,5,3,Roedeer,before,0.3,
RDT1_04Feb_17_1,RDT1,2021-02-04,04Feb,04-02-24,17:55,2,17,,1,5,3,Roedeer,before,0.2,
RDT1_04Feb_18_1,RDT1,2021-02-04,04Feb,04-02-24,18:16,1,18,,1,6,1,Bird,before,0.15,
RDT1_04Feb_18_2,RDT1,2021-02-04,04Feb,04-02-24,18:22,1,19,,1,7,2,Silent,before,0.4,
RDT1_04Feb_18_3,RDT1,2021-02-04,04Feb,04-02-24,18:35,1,20,,1,8,1,Novel,before,1,
RDT1_04Feb_19_1,RDT1,2021-02-04,04Feb,04-02-24,19:23,2,21,,1,9,3,Silent,before,0.375,
RDT1_04Feb_19_1,RDT1,2021-02-04,04Feb,04-02-24,19:23,2,22,,1,9,3,Silent,before,0,
RDT1_04Feb_21_1,RDT1,2021-02-04,04Feb,04-02-24,21:29,2,23,,1,10,2,Human,before,0.05,
RDT1_04Feb_21_1,RDT1,2021-02-04,04Feb,04-02-24,21:29,2,24,,1,10,2,Human,before,0.5,
RDT1_04Feb_21_2,RDT1,2021-02-04,04Feb,04-02-24,21:36,4,25,,1,11,1,Dog,before,0,
RDT1_04Feb_21_2,RDT1,2021-02-04,04Feb,04-02-24,21:36,4,26,,1,11,1,Dog,before,0,
RDT1_04Feb_21_2,RDT1,2021-02-04,04Feb,04-02-24,21:36,4,27,,1,11,1,Dog,before,0,
RDT1_04Feb_21_2,RDT1,2021-02-04,04Feb,04-02-24,21:36,4,28,,1,11,1,Dog,before,0,
RDT1_04Feb_22_1,RDT1,2021-02-04,04Feb,04-02-24,22:28,1,29,,1,12,4,Silent,before,0,
RDT1_05Feb_1_1,RDT1,2021-02-05,05Feb,05-02-24,01:45,1,30,,2,13,5,Silent,before,0.25,
RDT1_05Feb_1_2,RDT1,2021-02-05,05Feb,05-02-24,01:51,1,31,,2,14,2,Dog,before,0.15,
RDT1_05Feb_6_1,RDT1,2021-02-05,05Feb,05-02-24,06:09,1,32,,2,15,3,Human,before,0,
RDT1_05Feb_16_1,RDT1,2021-02-05,05Feb,05-02-24,16:48,3,33,,2,16,4,Human,before,0,
RDT1_05Feb_16_1,RDT1,2021-02-05,05Feb,05-02-24,16:48,3,34,,2,16,4,Human,before,0.1,
RDT1_05Feb_16_1,RDT1,2021-02-05,05Feb,05-02-24,16:48,3,35,,2,16,4,Human,before,1,
RDT1_05Feb_17_1,RDT1,2021-02-05,05Feb,05-02-24,17:00,2,36,,2,17,3,Dog,before,0,
RDT1_05Feb_17_1,RDT1,2021-02-05,05Feb,05-02-24,17:00,2,37,,2,17,3,Dog,before,0,
RDT1_05Feb_17_2,RDT1,2021-02-05,05Feb,05-02-24,17:12,2,38,,2,18,6,Silent,before,0.15,
RDT1_05Feb_17_2,RDT1,2021-02-05,05Feb,05-02-24,17:12,2,39,,2,18,6,Silent,before,0,
RDT1_05Feb_17_3,RDT1,2021-02-05,05Feb,05-02-24,17:20,1,40,,2,19,5,Human,before,0.3,
RDT1_05Feb_18_1,RDT1,2021-02-05,05Feb,05-02-24,18:24,1,41,,2,20,7,Silent,before,0.35,
RDT1_05Feb_18_2,RDT1,2021-02-05,05Feb,05-02-24,18:31,2,42,,2,21,2,Novel,before,0,
RDT1_05Feb_18_2,RDT1,2021-02-05,05Feb,05-02-24,18:31,2,43,,2,21,2,Novel,before,0.25,
RDT1_05Feb_18_3,RDT1,2021-02-05,05Feb,05-02-24,18:38,1,44,,2,22,8,Silent,before,0.4,
RDT1_05Feb_20_1,RDT1,2021-02-05,05Feb,05-02-24,20:06,2,45,,2,23,3,Novel,before,0,
RDT1_05Feb_20_1,RDT1,2021-02-05,05Feb,05-02-24,20:06,2,46,,2,23,3,Novel,before,0.65,
RDT1_05Feb_21_1,RDT1,2021-02-05,05Feb,05-02-24,21:04,1,47,,2,24,6,Human,before,0.5,
RDT1_05Feb_22_1,RDT1,2021-02-05,05Feb,05-02-24,22:01,1,48,,2,25,4,Dog,before,0,
RDT1_05Feb_22_2,RDT1,2021-02-05,05Feb,05-02-24,22:08,3,49,,2,26,9,Silent,before,1,
RDT1_05Feb_22_2,RDT1,2021-02-05,05Feb,05-02-24,22:08,3,50,,2,26,9,Silent,before,0.25,
RDT1_05Feb_22_2,RDT1,2021-02-05,05Feb,05-02-24,22:08,3,51,,2,26,9,Silent,before,0,
RDT1_05Feb_22_3,RDT1,2021-02-05,05Feb,05-02-24,22:17,2,52,,2,27,4,Novel,before,0,
RDT1_05Feb_22_3,RDT1,2021-02-05,05Feb,05-02-24,22:17,2,53,,2,27,4,Novel,before,0,
RDT1_05Feb_22_4,RDT1,2021-02-05,05Feb,05-02-24,22:27,2,54,,2,28,10,Silent,before,NA,
RDT1_05Feb_22_4,RDT1,2021-02-05,05Feb,05-02-24,22:27,2,55,,2,28,10,Silent,before,0.85,
RDT1_05Feb_22_5,RDT1,2021-02-05,05Feb,05-02-24,22:34,1,56,,2,29,7,Human,before,0,
RDT1_05Feb_23_1,RDT1,2021-02-05,05Feb,05-02-24,23:30,1,57,,2,30,2,Bird,before,0,
RDT1_05Feb_23_2,RDT1,2021-02-05,05Feb,05-02-24,23:40,1,58,,2,31,11,Silent,before,0.65,
RDT1_05Feb_23_3,RDT1,2021-02-05,05Feb,05-02-24,23:43,1,59,,2,32,5,Dog,before,0,
RDT1_06Feb_2_1,RDT1,2021-02-06,06Feb,06-02-24,02:05,1,60,,3,33,6,Dog,before,0,
RDT1_06Feb_2_2,RDT1,2021-02-06,06Feb,06-02-24,02:29,1,61,,3,34,12,Silent,before,0.1,
RDT1_06Feb_4_1,RDT1,2021-02-06,06Feb,06-02-24,04:18,2,62,,3,35,13,Silent,before,NA,
RDT1_06Feb_4_1,RDT1,2021-02-06,06Feb,06-02-24,04:18,2,63,,3,35,13,Silent,before,0,
RDT1_06Feb_4_2,RDT1,2021-02-06,06Feb,06-02-24,04:25,2,64,,3,36,5,Novel,before,0,
RDT1_06Feb_4_2,RDT1,2021-02-06,06Feb,06-02-24,04:25,2,65,,3,36,5,Novel,before,0,
RDT1_06Feb_5_1,RDT1,2021-02-06,06Feb,06-02-24,05:21,1,66,,3,37,7,Dog,before,0,
RDT1_06Feb_15_1,RDT1,2021-02-06,06Feb,06-02-24,15:47,3,67,,3,38,6,Novel,before,NA,
RDT1_06Feb_15_1,RDT1,2021-02-06,06Feb,06-02-24,15:47,3,68,,3,38,6,Novel,before,0,
RDT1_06Feb_15_1,RDT1,2021-02-06,06Feb,06-02-24,15:47,3,69,,3,38,6,Novel,before,0.85,
RDT1_06Feb_15_2,RDT1,2021-02-06,06Feb,06-02-24,15:53,2,70,,3,39,14,Silent,before,0,
RDT1_06Feb_15_2,RDT1,2021-02-06,06Feb,06-02-24,15:53,2,71,,3,39,14,Silent,before,0,
RDT1_06Feb_17_1,RDT1,2021-02-06,06Feb,06-02-24,17:15,3,72,,3,40,15,Silent,before,NA,
RDT1_06Feb_17_1,RDT1,2021-02-06,06Feb,06-02-24,17:15,3,73,,3,40,15,Silent,before,0,
RDT1_06Feb_17_1,RDT1,2021-02-06,06Feb,06-02-24,17:15,3,74,,3,40,15,Silent,before,0,
RDT1_06Feb_17_2,RDT1,2021-02-06,06Feb,06-02-24,17:22,2,75,,3,41,8,Human,before,NA,
RDT1_06Feb_17_2,RDT1,2021-02-06,06Feb,06-02-24,17:22,2,76,,3,41,8,Human,before,NA,
RDT1_06Feb_17_3,RDT1,2021-02-06,06Feb,06-02-24,17:37,3,77,,3,42,4,Roedeer,before,NA,
RDT1_06Feb_17_3,RDT1,2021-02-06,06Feb,06-02-24,17:37,3,78,,3,42,4,Roedeer,before,0.5,
RDT1_06Feb_17_3,RDT1,2021-02-06,06Feb,06-02-24,17:37,3,79,,3,42,4,Roedeer,before,NA,
RDT1_06Feb_17_4,RDT1,2021-02-06,06Feb,06-02-24,17:45,5,80,,3,43,16,Silent,before,0.45,
RDT1_06Feb_17_4,RDT1,2021-02-06,06Feb,06-02-24,17:45,5,81,,3,43,16,Silent,before,0.45,
RDT1_06Feb_17_4,RDT1,2021-02-06,06Feb,06-02-24,17:45,5,82,,3,43,16,Silent,before,1,
RDT1_06Feb_17_4,RDT1,2021-02-06,06Feb,06-02-24,17:45,5,83,,3,43,16,Silent,before,0,
RDT1_06Feb_17_4,RDT1,2021-02-06,06Feb,06-02-24,17:45,5,84,,3,43,16,Silent,before,0,
RDT1_06Feb_17_5,RDT1,2021-02-06,06Feb,06-02-24,17:52,3,85,,3,44,7,Novel,before,0,
RDT1_06Feb_17_5,RDT1,2021-02-06,06Feb,06-02-24,17:52,3,86,,3,44,7,Novel,before,0.5,
RDT1_06Feb_17_5,RDT1,2021-02-06,06Feb,06-02-24,17:52,3,87,,3,44,7,Novel,before,0.2,
RDT1_06Feb_18_1,RDT1,2021-02-06,06Feb,06-02-24,18:01,3,88,,3,45,3,Bird,before,0,
RDT1_06Feb_18_1,RDT1,2021-02-06,06Feb,06-02-24,18:01,3,89,,3,45,3,Bird,before,0,
RDT1_06Feb_18_1,RDT1,2021-02-06,06Feb,06-02-24,18:01,3,90,,3,45,3,Bird,before,0,
RDT1_06Feb_18_2,RDT1,2021-02-06,06Feb,06-02-24,18:09,3,91,,3,46,17,Silent,before,0.15,
RDT1_06Feb_18_2,RDT1,2021-02-06,06Feb,06-02-24,18:09,3,92,,3,46,17,Silent,before,0,
RDT1_06Feb_18_2,RDT1,2021-02-06,06Feb,06-02-24,18:09,3,93,,3,46,17,Silent,before,0,
RDT1_06Feb_18_3,RDT1,2021-02-06,06Feb,06-02-24,18:44,1,94,,3,47,8,Novel,before,0,
RDT1_06Feb_19_1,RDT1,2021-02-06,06Feb,06-02-24,19:00,2,95,,3,48,5,Roedeer,before,NA,
RDT1_06Feb_19_1,RDT1,2021-02-06,06Feb,06-02-24,19:00,2,96,,3,48,5,Roedeer,before,0,
